"","country","decade","genre_family","count","population"
"1","algeria",1970,NA,1,16450856.8
"2","algeria",1990,NA,1,28362029.2
"3","algeria",2000,NA,2,35858475.0526316
"4","andorra",2000,"metal",1,78052.6315789474
"5","andorra",2000,NA,1,78052.6315789474
"6","argentina",1960,"countryfolk",1,21993386.6
"7","argentina",1960,"rock",1,21993386.6
"8","argentina",1960,NA,7,21993386.6
"9","argentina",1970,"rock",7,25663601.5
"10","argentina",1970,"countryfolk",1,25663601.5
"11","argentina",1970,NA,14,25663601.5
"12","argentina",1970,"hiphop",1,25663601.5
"13","argentina",1980,"metal",2,29994547.2
"14","argentina",1980,"hiphop",2,29994547.2
"15","argentina",1980,NA,31,29994547.2
"16","argentina",1980,"countryfolk",3,29994547.2
"17","argentina",1980,"punk",2,29994547.2
"18","argentina",1980,"rock",21,29994547.2
"19","argentina",1990,"punk",2,34586241
"20","argentina",1990,"rock",47,34586241
"21","argentina",1990,"metal",9,34586241
"22","argentina",1990,NA,44,34586241
"23","argentina",1990,"hiphop",12,34586241
"24","argentina",1990,"countryfolk",7,34586241
"25","argentina",2000,"rock",61,40566072.4210526
"26","argentina",2000,"countryfolk",6,40566072.4210526
"27","argentina",2000,"electro",2,40566072.4210526
"28","argentina",2000,"punk",3,40566072.4210526
"29","argentina",2000,"hiphop",14,40566072.4210526
"30","argentina",2000,NA,92,40566072.4210526
"31","argentina",2000,"metal",11,40566072.4210526
"32","australia",1960,"countryfolk",1,11272847.7
"33","australia",1960,"hiphop",1,11272847.7
"34","australia",1960,NA,5,11272847.7
"35","australia",1970,"rock",8,13671400
"36","australia",1970,NA,12,13671400
"37","australia",1970,"hiphop",4,13671400
"38","australia",1980,"metal",1,15709690
"39","australia",1980,"electro",1,15709690
"40","australia",1980,"rock",27,15709690
"41","australia",1980,"jazz",1,15709690
"42","australia",1980,"hiphop",8,15709690
"43","australia",1980,NA,54,15709690
"44","australia",1980,"punk",4,15709690
"45","australia",1990,"hiphop",15,17990310
"46","australia",1990,"punk",4,17990310
"47","australia",1990,"rock",54,17990310
"48","australia",1990,"electro",2,17990310
"49","australia",1990,NA,114,17990310
"50","australia",1990,"countryfolk",6,17990310
"51","australia",1990,"metal",11,17990310
"52","australia",2000,"electro",10,21810626.5263158
"53","australia",2000,"metal",31,21810626.5263158
"54","australia",2000,"hiphop",75,21810626.5263158
"55","australia",2000,"jazz",1,21810626.5263158
"56","australia",2000,"countryfolk",16,21810626.5263158
"57","australia",2000,"rock",116,21810626.5263158
"58","australia",2000,NA,266,21810626.5263158
"59","australia",2000,"punk",12,21810626.5263158
"60","austria",1960,NA,9,7248972.5
"61","austria",1970,"rock",2,7552151
"62","austria",1970,NA,13,7552151
"63","austria",1970,"hiphop",5,7552151
"64","austria",1980,"metal",1,7572987.6
"65","austria",1980,"hiphop",8,7572987.6
"66","austria",1980,NA,14,7572987.6
"67","austria",1980,"rock",6,7572987.6
"68","austria",1990,"countryfolk",1,7895965
"69","austria",1990,NA,30,7895965
"70","austria",1990,"rock",6,7895965
"71","austria",1990,"electro",1,7895965
"72","austria",1990,"hiphop",7,7895965
"73","austria",1990,"metal",9,7895965
"74","austria",2000,"rock",18,8374455.36842105
"75","austria",2000,"metal",17,8374455.36842105
"76","austria",2000,"hiphop",16,8374455.36842105
"77","austria",2000,"punk",1,8374455.36842105
"78","austria",2000,NA,83,8374455.36842105
"79","austria",2000,"electro",8,8374455.36842105
