Architecture,Max_Power,Memory,Memory_Speed
R600 XT ,215 Watts,512 MB ,828 MHz
R600 PRO ,200 Watts,512 MB ,800 MHz
RV630 ,45 Watts,256 MB ,700 MHz
RV630 ,50 Watts,256 MB ,1100 MHz
R700 RV790 XT ,190 Watts,2048 MB ,1050 MHz
R600 GT ,150 Watts,256 MB ,800 MHz
Pitcairn XT GL ,150 Watts,2048 MB ,1250 MHz
Fermi GF110 ,250 Watts,6144 MB ,925 MHz
Kepler GK110 ,245 Watts,12288 MB ,1502 MHz
GCN 1.1 Oland XT + Kaveri ,150 Watts,3072 MB ,900 MHz
R360 ,60 Watts,256 MB ,730 MHz
Pascal GP102 ,250 Watts,12288 MB ,1425 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
Kepler GK110-430-B1 (x2) ,375 Watts,12288 MB ,1750 MHz
Kepler GK110B ,375 Watts,12288 MB ,1750 MHz
Kepler GK110-430-B1 (x2) ,375 Watts,12288 MB ,1750 MHz
Kepler GK110B ,375 Watts,12288 MB ,1750 MHz
Maxwell GM200-400-A1 ,250 Watts,12288 MB ,1753 MHz
Maxwell GM200-400-A1 (x2) ,450 Watts,24576 MB ,1753 MHz
Maxwell GM200-400-A1 ,250 Watts,12288 MB ,1753 MHz
Maxwell GM200-400-A1 ,250 Watts,12288 MB ,1753 MHz
Kepler GK110-400-A1 ,265 Watts,6144 MB ,1502 MHz
Kepler GK110-400-A1 (x2) ,500 Watts,12288 MB ,1502 MHz
Pascal P100 ,300 Watts,12288 MB ,500 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
Pascal P100 ,375 Watts,16384 MB ,500 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
Kepler GK110-400-A1 ,265 Watts,6144 MB ,1502 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
Kepler GK110-430-B1 ,250 Watts,6144 MB ,1750 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
R360 ,47 Watts,128 MB ,700 MHz
RV360 ,18 Watts,128 MB ,300 MHz
GCN 2.0 Hawaii XT GL ,290 Watts,16384 MB ,1250 MHz
