Product_Collection,Lithography,nb_of_Cores,Processor_Base_Frequency,TDP
7th Generation Intel® Core™ i7 Processors,14 nm,2,1.30 GHz,4.5 W
8th Generation Intel® Core™ i5 Processors,14 nm,4,1.60 GHz,15 W
8th Generation Intel® Core™ i7 Processors,14 nm,4,1.80 GHz,15 W
Intel® Core™ X-series Processors,32 nm,4,3.60 GHz,130 W
7th Generation Intel® Core™ i5 Processors,14 nm,2,1.20 GHz,4.5 W
Intel® Celeron® Processor 3000 Series,14 nm,2,1.50 GHz,15 W
Intel® Celeron® Processor N Series,22 nm,2,1.46 GHz,4.3 W
Intel® Celeron® Processor J Series,22 nm,2,2.41 GHz,10 W
Intel® Celeron® Processor G Series,22 nm,2,2.60 GHz,55 W
Legacy Intel® Pentium® Processor,90 nm,1,2.80 GHz,88 W
Intel® Pentium® Processor 2000 Series,22 nm,2,2.40 GHz,35 W
Legacy Intel® Pentium® Processor,90 nm,1,1.30 GHz,5.5 W
Intel® Pentium® Processor 3000 Series,14 nm,2,1.90 GHz,15 W
Intel® Pentium® Processor 4000 Series,14 nm,2,2.10 GHz,15 W
Intel® Pentium® Processor N Series,14 nm,4,1.60 GHz,6 W
Intel® Pentium® Processor J Series,22 nm,4,2.41 GHz,10 W
Intel® Pentium® Processor J Series,22 nm,4,2.41 GHz,10 W
Intel® Pentium® Processor J Series,14 nm,4,1.60 GHz,6.5 W
Intel® Pentium® Processor J Series,14 nm,4,1.50 GHz,10 W
Intel® Pentium® Processor N Series,14 nm,4,1.60 GHz,6 W
Intel® Pentium® Processor N Series,22 nm,4,2.00 GHz,7.5 W
Intel® Pentium® Processor N Series,22 nm,4,2.17 GHz,7.5 W
Intel® Pentium® Processor N Series,22 nm,4,2.16 GHz,7.5 W
Intel® Pentium® Processor N Series,22 nm,4,2.16 GHz,7.5 W
Intel® Pentium® Processor N Series,14 nm,4,1.10 GHz,6 W
Intel® Pentium® Processor 4000 Series,14 nm,2,1.50 GHz,6 W
Intel® Pentium® Processor 4000 Series,14 nm,2,1.60 GHz,6 W
Intel® Pentium® Processor 4000 Series,14 nm,2,1.50 GHz,6 W
Intel® Pentium® Processor 4000 Series,14 nm,2,2.30 GHz,15 W
Intel® Pentium® Processor 3000 Series,14 nm,2,1.90 GHz,15 W
Intel® Pentium® Processor 3000 Series,22 nm,2,1.20 GHz,11.5 W
Intel® Pentium® Processor 3000 Series,22 nm,2,2.40 GHz,37 W
Intel® Pentium® Processor 3000 Series,22 nm,2,1.20 GHz,11.5 W
Intel® Pentium® Processor 3000 Series,22 nm,2,1.70 GHz,15 W
Intel® Pentium® Processor 3000 Series,22 nm,2,1.70 GHz,15 W
Intel® Pentium® Processor 3000 Series,22 nm,2,2.30 GHz,37 W
Intel® Pentium® Processor 2000 Series,22 nm,2,1.80 GHz,17 W
Intel® Pentium® Processor 2000 Series,22 nm,2,2.50 GHz,35 W
Intel® Pentium® Processor 2000 Series,22 nm,2,1.90 GHz,17 W
Intel® Pentium® Processor 2000 Series,22 nm,2,1.10 GHz,10 W
Legacy Intel® Pentium® Processor,90 nm,1,1.20 GHz,5.5 W
Legacy Intel® Pentium® Processor,90 nm,1,1.10 GHz,5 W
Legacy Intel® Pentium® Processor,90 nm,1,1.00 GHz,5 W
Legacy Intel® Pentium® Processor,130 nm,1,1.10 GHz,7 W
Legacy Intel® Pentium® Processor,90 nm,1,1.60 GHz,7.5 W
Legacy Intel® Pentium® Processor,90 nm,1,1.40 GHz,7.5 W
Legacy Intel® Pentium® Processor,90 nm,1,1.50 GHz,7.5 W
Legacy Intel® Pentium® Processor,90 nm,1,3.80 GHz,115 W
Legacy Intel® Pentium® Processor,130 nm,1,1.30 GHz,12 W
